timestamp,cwe,model,input_tokens,output_tokens,latency_ms
2025-11-27T15:56:38.334316,CWE-89,Qwen/Qwen2.5-Coder-1.5B-Instruct,239,279,207638.25273513794
2025-11-27T16:04:36.715643,CWE-89,Qwen/Qwen2.5-Coder-1.5B-Instruct,239,279,175660.57085990906
2025-11-27T16:07:17.871627,CWE-798,Qwen/Qwen2.5-Coder-1.5B-Instruct,240,241,161082.9439163208
2025-11-27T16:09:46.067153,CWE-79,Qwen/Qwen2.5-Coder-1.5B-Instruct,240,216,148042.2818660736
